IDImp;nr articolo;budget/consuntivo;Nr. Ordine di produzione;Descrizione;Nr. Area di produzione;Risorsa;Tempo risorsa;Quantità di output
4013;ART0004711;CONSUNTIVO;ODP18-05444;Fresatura;A30;RIS9;2;0
4014;ART0004711;CONSUNTIVO;ODP18-05444;Fresatura;A30;RIS11;1.5;0
4015;ART0002360;CONSUNTIVO;ODP18-05953;Tornitura;A20;RIS2;2;2
4016;ART0004711;CONSUNTIVO;ODP18-05444;Fresatura;A30;RIS11;3;6
4017;ART0005136;CONSUNTIVO;ODP18-06009;Preparazione materiale;A10;RIS12;0.25;1
4018;ART0005136;CONSUNTIVO;ODP18-06009;Preparazione materiale;A10;RIS12;0.25;4
4019;ART0001783;CONSUNTIVO;ODP18-05827;Fresatura;A30;RIS5;3.67;0
4020;ART0001783;CONSUNTIVO;ODP18-05827;Fresatura;A30;RIS5;1;10
4021;ART0002112;CONSUNTIVO;ODP18-05999;Tornitura;A20;RIS2;1;7
4022;ART0000129;CONSUNTIVO;ODP18-05141;Tornitura;A20;RIS1;3;0
4023;ART0005136;CONSUNTIVO;ODP18-06009;Preparazione materiale;A10;RIS12;1;4
4024;ART0005136;CONSUNTIVO;ODP18-06009;Preparazione materiale;A10;RIS12;0.75;0
4025;ART0001263;CONSUNTIVO;ODP18-05952;Tornitura;A20;RIS2;0.25;5
4026;ART0005034;CONSUNTIVO;ODP18-05862;Fresatura;A30;RIS5;0.75;2
4027;ART0005036;CONSUNTIVO;ODP18-05862;Fresatura;A30;RIS5;0.75;8
4028;ART0005037;CONSUNTIVO;ODP18-05862;Fresatura;A30;RIS5;0.75;8
4029;ART0005136;CONSUNTIVO;ODP18-06009;Tornitura;A20;RIS2;1;4
4030;ART0005136;CONSUNTIVO;ODP18-06009;Tornitura;A20;RIS2;0.25;1
4031;ART0005136;CONSUNTIVO;ODP18-06009;Tornitura;A20;RIS2;0.75;4
4032;ART0001261;CONSUNTIVO;ODP18-05952;Tornitura;A20;RIS2;1;5
4033;ART0000129;CONSUNTIVO;ODP18-05141;Tornitura;A20;RIS1;3;6
4034;ART0000129;CONSUNTIVO;ODP18-05141;Fresatura;A30;RIS1;0.0001;6
